N,n_newtonDefault_gradient,o_newtonDefault_gradient
10,0.2763,0.2369
32,0.2911,0.2532
50,0.2698,0.2320
64,0.2839,0.2319
100,0.2960,0.2501
128,0.2986,0.2600
200,0.2738,0.2587
250,0.2631,0.2663
256,0.2609,0.2458
300,0.2761,0.2599
400,0.2752,0.2669
512,0.2779,0.2563
600,0.2782,0.2768
1000,0.2685,0.2748
1024,0.2877,0.2612
2000,0.2762,0.2722
2048,0.2888,0.2743
3000,0.2898,0.2812
4096,0.2931,0.2947
