N,n_newtonGS_hessian,o_newtonGS_hessian
10,0.2491,0.2460
32,0.2421,0.2553
50,0.2623,0.2644
64,0.2601,0.2317
100,0.2478,0.2302
128,0.2541,0.2151
200,0.2855,0.2603
250,0.2759,0.2268
256,0.2722,0.2271
300,0.2670,0.2166
400,0.2598,0.2108
512,0.2562,0.2196
600,0.2546,0.2237
1000,0.2505,0.2318
1024,0.2506,0.2320
2000,0.2499,0.2398
2048,0.2498,0.2409
3000,0.2497,0.2429
4096,0.2496,0.2457
