N,n_newtonDefault_hessian,o_newtonDefault_hessian
10,0.2445,0.2362
32,0.2602,0.2526
50,0.2567,0.2571
64,0.2497,0.2311
100,0.2451,0.2293
128,0.2536,0.2130
200,0.2689,0.2476
250,0.2609,0.2168
256,0.2602,0.2186
300,0.2569,0.2105
400,0.2543,0.2076
512,0.2530,0.2170
600,0.2520,0.2219
1000,0.2480,0.2290
1024,0.2475,0.2295
2000,0.2482,0.2384
2048,0.2494,0.2401
3000,0.2493,0.2423
4096,0.2495,0.2456
