N,n_newtonDefault_solver,o_newtonDefault_solver
10,0.2530,0.2359
32,0.2631,0.2370
50,0.2425,0.2437
64,0.1090,0.1257
100,0.0162,0.0183
128,0.0114,0.0114
200,0.1137,0.0953
250,0.1992,0.1979
256,0.2067,0.2004
300,0.2279,0.2280
400,0.2413,0.2416
512,0.2173,0.2472
600,0.2472,0.2469
1000,0.2429,0.2412
1024,0.2234,0.2527
2000,0.2101,0.2106
2048,0.2042,0.2289
3000,0.1944,0.1941
4096,0.1873,0.1936
