N,n_newtonGS,o_newtonGS
10,0.2577,0.2493
32,0.2543,0.2541
50,0.2160,0.2224
64,0.1572,0.1372
100,0.0853,0.0945
128,0.0833,0.0844
200,0.2996,0.2815
250,0.3622,0.3566
256,0.3762,0.3739
300,0.3823,0.3742
400,0.3833,0.3731
512,0.3840,0.3758
600,0.3787,0.3607
1000,0.3480,0.3401
1024,0.3451,0.3420
2000,0.3004,0.2950
2048,0.2932,0.2902
3000,0.2481,0.2441
4096,0.2464,0.2453
